nan,5.292685756991914736e-02,5.369974648078584822e-02,5.971063076552840521e-02,5.249071578066828725e-02,5.275834789570379990e-02,5.404631415317239646e-02,5.784606598080137968e-02,5.473098945898761947e-02,5.836384436827499883e-02,5.589890150795728818e-02,5.256698056722720197e-02
nan,nan,4.317171029071991198e-03,4.093958761787315492e-03,4.326198406167081588e-03,4.292739938255344355e-03,4.165021867340818612e-03,4.052302855880162563e-03,4.243708227577381968e-03,4.385236333066803993e-03,4.375661647347683578e-03,4.301757555612719698e-03
nan,nan,nan,9.650061082179015037e-03,9.564238249406052314e-03,9.609759222228751729e-03,1.002125636240648252e-02,1.057582504362416728e-02,9.683636125172331507e-03,1.111849473664503624e-02,9.932708735106533099e-03,9.610433659230024558e-03
nan,nan,nan,nan,4.880853946042339186e-02,4.874234950410607364e-02,4.961729210478761642e-02,5.006297721093325159e-02,4.936772736331893063e-02,5.146002453808398713e-02,4.901820607652852824e-02,4.878215309791529564e-02
nan,nan,nan,nan,nan,2.980711716576653521e-03,2.981045822059743070e-03,3.389218414915880998e-03,3.246659439757421713e-03,3.252118610380164403e-03,3.431234054238765842e-03,2.979163331806848006e-03
nan,nan,nan,nan,nan,nan,7.997384817585608116e-04,8.803352144077639975e-04,8.411412197823322015e-04,8.975563851437057565e-04,9.257125303625791338e-04,8.068760052619869090e-04
nan,nan,nan,nan,nan,nan,nan,2.531698168951734482e-02,2.243798108406015041e-02,2.174378146049312649e-02,2.317495567192574477e-02,2.176099566476169186e-02
nan,nan,nan,nan,nan,nan,nan,nan,6.698306161536984882e-02,6.915568123890981911e-02,6.749078911871328468e-02,6.441522167023089329e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,2.717042703314213187e-02,2.748595405288445023e-02,2.693907964823263196e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.379486663437976768e-02,5.175617618782023949e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.492739155540100893e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
