"ISO3","SC","Year","infraPt","capitalCostBus","busVKM","ptVKM","lighRail_BRTLength","undergroundRailLength","OM_infraPt"
"ESP","BAU",2015,0.322306371652256,0.805765929130641,1022633734.65683,1072697882.26986,272.479732282778,738.572284205614,1834.34354340489
"ESP","ROG",2015,0.368225721815618,0.920564304539045,1168291635.06513,1225469900.22372,272.479732282778,738.572284205614,1834.34354340489
"ESP","LUT",2015,0.368225721815618,0.920564304539045,1168291635.06513,1225469900.22372,272.479732282778,738.572284205614,1834.34354340489
"ESP","BAU",2020,2.97998553822133,0.960792285813182,1206511362.74993,1269150111.10008,352.193426033397,766.750661207563,1839.11217177819
"ESP","ROG",2020,5.59809023430853,1.25687779247164,1577321185.14459,1659185752.36665,428.972678950602,793.891728605562,1839.11217177819
"ESP","LUT",2020,5.59809023430853,1.25687779247164,1577321185.14459,1659185752.36665,428.972678950602,793.891728605562,1839.11217177819
"ESP","BAU",2025,2.39663218130252,1.08611036841186,1349643956.78017,1419655797.44313,398.933392963963,783.272996922534,1843.74022490498
"ESP","ROG",2025,9.54335362831283,2.29908068971794,2853607735.00725,2972978404.59276,666.733703740305,877.93901681496,1843.74022490498
"ESP","LUT",2025,9.83999444760201,2.30773425084935,2864348492.86337,2984824479.34498,673.720680495433,881.258379150946,1843.74022490498
"ESP","BAU",2030,2.75646528739577,1.20853666267366,1500870767.49142,1578472224.12096,447.045960153472,800.280539704819,1849.38204108343
"ESP","ROG",2030,10.1023063378181,2.93609858231929,3636911956.43248,3788792356.94391,872.821418898852,950.789954464085,1849.38204108343
"ESP","LUT",2030,10.3236162380177,2.95092031629565,3655271469.9169,3808970262.85894,884.323418185542,955.933558608789,1849.38204108343
"ESP","BAU",2035,3.25697423244662,1.30917961871756,1625105853.68591,1711182726.0077,500.773844244924,819.273067866697,1854.65618833095
"ESP","ROG",2035,10.6147113064396,3.39533496925183,4196926870.48926,4377261642.77291,1053.20114822273,1014.55325255311,1854.65618833095
"ESP","LUT",2035,10.9536245904395,3.40919682684038,4214061322.0574,4396685598.05909,1067.64080549458,1022.81842721989,1859.4134669202
"ESP","BAU",2040,3.1243140169513,1.41379977309576,1754366816.61604,1846621586.83201,539.937160127095,833.117096761239,1859.31509649586
"ESP","ROG",2040,10.5930451835253,3.83302446662841,4730273501.89027,4933190836.43497,1196.35793624445,1065.15843409047,1859.31509649586
"ESP","LUT",2040,20.0462116246611,3.8398961339376,4738753715.3795,4946598995.78052,1224.81965913559,1193.69882554209,2159.39681988449
"ESP","BAU",2045,6.31708374607989,1.50004401140406,1860769084.94192,1959403807.02059,579.496476076951,884.842646243834,1961.2524140945
"ESP","ROG",2045,21.6245396648119,4.2143972755061,5194123509.15014,5420096311.95632,1339.46523958408,1245.72188008704,2198.78385669869
"ESP","LUT",2045,15.2214099376481,4.21399581293564,5193628718.07115,5426079963.2639,1380.33067066628,1268.83085162239,2212.82005705425
"ESP","BAU",2050,4.97094711179617,1.60060791024814,1984850555.45401,2090931876.78904,626.533370461333,908.680351913161,1985.70453536835
"ESP","ROG",2050,17.3100337676319,4.66991835649996,5751480086.15604,6005296304.68992,1515.39075604056,1332.700027095,2269.75507030122
"ESP","LUT",2050,17.9749597265915,4.66170968738707,5741370274.09242,6002393942.93578,1560.82248773367,1359.77208500378,2277.17291379409
"RUS","BAU",2015,1.25697017466624,3.1424254366656,3360508652.22303,3389375230.94968,2985.06560974251,1144.28791952763,2815.21142257907
"RUS","ROG",2015,1.43765383140025,3.59413457850061,3843410448.36995,3876878798.02076,2985.06560974251,1144.28791952763,2815.21142257907
"RUS","LUT",2015,1.43765383140025,3.59413457850061,3843410448.36995,3876878798.02076,2985.06560974251,1144.28791952763,2815.21142257907
"RUS","BAU",2020,3.07902459945992,3.43663589903914,3625355013.35192,3659825923.14572,3038.3586044057,1163.26308873685,2816.33492036697
"RUS","ROG",2020,4.23928201764086,4.14048335585845,4364249483.20147,4406212025.20534,3065.83242855425,1173.04055622547,2816.33492036697
"RUS","LUT",2020,4.23928201764086,4.14048335585845,4364249483.20147,4406212025.20534,3065.83242855425,1173.04055622547,2816.33492036697
"RUS","BAU",2025,2.63676009881359,3.50971444881916,3659010721.16223,3696556318.1847,3067.90310136588,1173.83487440842,2827.15645233207
"RUS","ROG",2025,9.08730692811161,8.14830529440466,8479918562.20624,8539550392.01671,3233.8394601976,1232.90470574662,2827.15645233207
"RUS","LUT",2025,10.3961508257429,8.3245744171489,8663361345.93811,8727156948.20369,3273.43344698971,1246.83743881642,2827.15645233207
"RUS","BAU",2030,2.19545487409901,3.60076266261175,3733310688.23331,3771771001.54039,3077.23146641005,1177.25526925338,2840.49222403179
"RUS","ROG",2030,9.0126762815691,9.92098474650342,10237388472.6484,10308858805.952,3348.00329924886,1273.69640236182,2840.4922240318
"RUS","LUT",2030,9.8045468770825,10.2762394321816,10603973072.5589,10681268409.1237,3401.79525158132,1292.53860476574,2840.4922240318
"RUS","BAU",2035,5.12163062387639,3.80690068729873,3922681404.19556,3965592626.92055,3118.26458205501,1215.35497329183,2911.13356751542
"RUS","ROG",2035,19.2283257013315,11.5951089115866,11842172337.5446,11929856123.5293,3498.76354474434,1429.97357928101,3109.13396540226
"RUS","LUT",2035,21.1541707567499,11.9128231722794,12166656312.4609,12263859696.881,3589.20196565397,1466.62958767899,3120.86734690779
"RUS","BAU",2040,3.72135596974197,4.059770836624,4157063795.76122,4202590936.0554,3143.00216637708,1227.80362197401,2927.35534226627
"RUS","ROG",2040,13.3701163817228,12.8846815921603,13028662797.1993,13125577327.701,3586.23576952515,1478.06173742874,3159.12878864284
"RUS","LUT",2040,14.6767312810682,13.0971824099868,13243538227.3593,13352069070.9043,3696.59789389765,1522.54145312463,3173.46350390208
"RUS","BAU",2045,4.23808837616445,4.28902361279962,4363636500.65922,4412353474.71398,3173.25418859305,1243.0328037388,2943.47087048672
"RUS","ROG",2045,14.4641922268216,13.8623070590276,13884338967.0415,13990531069.0095,3674.15763382307,1526.060549606,3206.34763665441
"RUS","LUT",2045,15.759294380956,13.9752614909632,13997472921.8836,14117094324.4923,3801.74612178462,1577.37692741858,3223.19657280961
"RUS","BAU",2050,5.33684453134634,4.58113483197804,4629657941.0001,4683148045.5707,3218.50021970525,1267.05274928062,2970.31051562327
"RUS","ROG",2050,18.4477796425215,15.3001664114594,15204084516.6731,15325241005.7091,3815.9398530873,1605.32097217388,3284.84872948046
"RUS","LUT",2050,22.5086424023805,15.302998623165,15206898942.6724,15343671510.8166,3963.69288470103,1699.54473660476,3394.72992340739
"CHN","BAU",2015,21.3843255815917,53.4608139539793,55075990924.9778,55312829344.104,1257.49569889841,4297.0423433915,10954.4708093518
"CHN","ROG",2015,20.8861480639307,52.2153701598268,53794472924.8837,54025833507.2194,1257.49569889841,4297.0423433915,10954.4708093518
"CHN","LUT",2015,20.8861480639307,52.2153701598268,53794472924.8837,54025833507.2194,1257.49569889841,4297.0423433915,10954.4708093518
"CHN","BAU",2020,42.1207151190042,64.5351499772419,65943927383.459,66226391758.4715,1690.82988324988,4479.68501514065,11277.5486473095
"CHN","ROG",2020,47.3712871643084,66.5034951891693,67752103595.9222,68041746783.9256,1811.05474983609,4529.34029479646,11334.0793017122
"CHN","LUT",2020,47.3712871643084,66.5034951891693,67752103595.9222,68041746783.9256,1811.05474983609,4529.34029479646,11334.0793017122
"CHN","BAU",2025,48.8424167288753,70.8772743387162,72038672706.5409,72363355074.3667,2091.22372901541,4681.06603459616,11662.2648837029
"CHN","ROG",2025,106.586970550774,110.975272430707,111976840852.634,112414338784.654,3214.10273092622,5189.45582557679,12305.9890380726
"CHN","LUT",2025,110.145897817153,110.896564584662,111897422656.513,112346047935.449,3319.86084896779,5229.71994419779,12323.5502959739
"CHN","BAU",2030,54.1288424554602,78.5656120163995,79408017765.6828,79775047882.1648,2493.09204925429,4869.28650985915,11995.6926383925
"CHN","ROG",2030,136.077948669773,152.928039180685,151377677652.154,151970668433.35,4689.83747136187,5872.03463811476,13266.4743769095
"CHN","LUT",2030,172.886060535937,152.434355506751,150888998869.275,151499229603.411,4845.6389797999,6389.42471044522,14453.5248900214
"CHN","BAU",2035,74.6503149184611,85.0180683896409,85218098240.8321,85623411247.6553,2852.60112931915,5253.29373748243,12911.0414452463
"CHN","ROG",2035,223.516985861116,199.355764805831,191561487100.845,192323038669.712,6277.49409996302,7295.76278987083,16133.472892724
"CHN","LUT",2035,204.023719701684,198.896956459663,191120616935.029,191917621021.271,6613.82230652797,7459.34221274914,16290.3553945155
"CHN","BAU",2040,75.0674412130743,92.6680650416671,92174638093.7647,92625193767.4615,3280.80800169186,5518.42152095817,13520.6842898
"CHN","ROG",2040,244.977442575938,252.75362376284,235820572228.913,236775181537.848,8105.06021330176,8407.98075780068,18151.7538374134
"CHN","LUT",2040,258.087020613635,251.838792350708,234967029304.82,235974663601.49,8607.16309661882,8705.21447506079,18486.3270918149
"CHN","BAU",2045,79.3477031216996,99.6706712370636,98447648055.774,98936880532.0818,3646.7807057464,5750.18231568091,14080.7647500821
"CHN","ROG",2045,276.093266038257,304.071512680487,276407612883.083,277536706222.975,9756.46023163302,9432.37799825828,20072.0272799068
"CHN","LUT",2045,293.278051548804,302.060970731786,274579986560.108,275772603637.181,10355.9774414863,9901.47687657577,20768.8615552905
"CHN","BAU",2050,93.314795520733,106.898815389243,104897012225.921,105432455948.369,4083.35821518299,6065.99833955386,14796.9343001586
"CHN","ROG",2050,328.43766205366,350.792061120839,313597558772.141,314905923038.288,11449.9925317093,10664.1707367949,22464.7956075024
"CHN","LUT",2050,330.494407540463,347.184291276596,310372320971.287,311765633953.435,12255.5211337207,11076.2607687934,22835.1782176904
"KAZ","BAU",2015,0.128794559845302,0.321986399613255,278058663.848107,278419545.710459,85.3683515920118,11.6507052649949,28.8568117952608
"KAZ","ROG",2015,0.132257417838481,0.330643544596203,285532561.067505,285904729.779637,85.3683515920118,11.6507052649949,28.8568117952608
"KAZ","LUT",2015,0.132257417838481,0.330643544596203,285532561.067505,285904729.779637,85.3683515920118,11.6507052649949,28.8568117952608
