"ISO3","SC","Year","localroad_invest_billion","mainroad_invest_billion","main_road","local_rd","CarVKM","OM_road"
"VNM","BAU",2015,2.52327996999181,0.940367637557352,1272.55125,24837.8474868116,10431609230.8995,190463866.042744
"MYS","BAU",2015,5.23337938827096,4.83924376533762,8313.0425,72051.226,21342886142.9094,687512296.725155
"LAO","BAU",2015,0.0245983292765971,0.00321479187484083,3.4275,204.367464688448,550074965.543771,1542370.56060129
"THA","BAU",2015,8.15238326843821,8.67461586236019,9599.61125,128299.9952,39525600917.2351,1241852635.22694
"MMR","BAU",2015,2.66661251814446,0.0611674326902402,92.005,27182.3686199273,4156472731.5522,200481039.088136
"PHL","BAU",2015,2.45331323258234,2.47159567341233,4131.245,30693.8821746006,19983643424.5157,316856299.959551
"KHM","BAU",2015,0.0524004559807242,0.0124734089696462,17.185,502.61774663721,664981888.447965,3566132.2455213
"IDN","BAU",2015,6.28350360683622,4.49665975503038,8153.44875,73896.9665049838,31495796868.4198,801215351.184844
"SGP","BAU",2015,0.430337110631426,1.36572294695487,2586.7225,8521.088,9072891313.20808,166620560.011144
"KAZ","BAU",2015,2.94822170828752,0.450655079685266,575.0775,35194.7752,5213794234.66851,364919229.680428
"TKM","BAU",2015,1.25291515377534,0.356939166791187,394.7875,6470.9424,1444896249.89996,70824907.9139765
"GEO","BAU",2015,0.0630368026133749,0.1250256132404,203.13,680.287783308436,802276753.535413,12520762.6039932
"UZB","BAU",2015,1.26925162797191,0.828461117585746,1285.8725,10480.0161284777,3105192218.40578,144862042.577459
"TJK","BAU",2015,0.330130763329993,0.116246393250068,123.3875,2699.24378004052,264614248.448997,28084241.2116873
"KGZ","BAU",2015,0.122001698533327,0.0168631910427279,25.9025,1115.10669708404,324544562.448492,12522961.6228125
"ARM","BAU",2015,0.235852812810203,0.122009550145299,270.22625,3805.4612111518,712736981.353977,50169042.503344
"AZE","BAU",2015,3.00196095323553,1.05119778403552,1083.59375,37811.1812,4770513007.04219,352942154.285246
"AUS","BAU",2015,12.5611951256885,14.2331509798216,22451.05,238762.952,101369685714.363,3645139732.28446
"NZL","BAU",2015,0.648319917195946,0.841717096705537,1377.68875,16009.976,4681304226.79761,254338693.718625
"BRA","BAU",2015,16.5538397326709,15.7788366385259,31794.6025,825903.8944,116820883302.401,7683778825.40182
"CAN","BAU",2015,11.0200437846144,22.6332727551092,26147.615,196138.432,110031353395.644,4065235280.08823
"CHN","BAU",2015,131.339308936941,129.603748715701,152083.67625,1155439.09819432,727152600137.689,12007259951.9496
"LVA","BAU",2015,0.301824758052324,0.0715509528681505,217.2475,5437.344,749415238.006819,66319498.2517044
"LTU","BAU",2015,0.105855366644661,0.142459767638441,320.74,2639.724,529178577.547457,40228457.753037
"ROU","BAU",2015,1.46535430423554,0.203603271646376,403.92375,24923.1372,3219065308.53964,216681516.673509
"BGR","BAU",2015,0.91662732573796,0.389245479796102,529.72875,17096.7524,2368497679.61712,196532809.508193
"FIN","BAU",2015,0.161406981168562,0.756122571323949,1201.94875,6785.416,3083254969.15269,121709137.839763
"SWE","BAU",2015,0.634352628154432,1.31209924684551,1610.4375,10451.732,4276389721.63871,177518389.916389
"DNK","BAU",2015,0.565364180251655,1.39943339914174,2424.33625,17978.54,4951475607.15895,279772279.123411
"ESP","BAU",2015,4.2514829950483,20.648218766605,39605.2875,182194.372,94771439165.9041,3792550536.84212
"IRL","BAU",2015,0.722755004657984,0.72685052662311,991.58875,12449.832,3027429866.17264,189787576.86004
"EST","BAU",2015,0.26248883457527,0.0870299718185999,170.0525,3315.288,553965569.67852,41972552.9532912
"POL","BAU",2015,4.41148247653083,1.3806298282671,2745.7875,82957.06,13928434703.9971,1231896431.55681
"CZE","BAU",2015,0.613584767246303,1.02073454170293,1807.09125,18744.144,4367604618.17169,385503476.802407
"NLD","BAU",2015,0.840394429889028,4.47397188642695,6121.50875,57011.748,8967713400.85668,959407170.098197
"BEL","BAU",2015,1.73224509148972,4.08472168748917,8072.3475,81641.208,16134475143.5758,1239109387.36726
"GRC","BAU",2015,0,0.933627996333495,2834.74,42771.816,7646108535.39699,651008502.0062
"AUT","BAU",2015,0.529810241940693,1.35993711371558,2572.515,20545.7,6972758138.34746,342817665.388498
"SVK","BAU",2015,0.0863783968468256,0.226135789634964,541.275,4197.844,683741706.893417,71270294.028365
"HUN","BAU",2015,0.555061539825858,0.813153882809371,1682.21,31780.532,6650219579.54916,436275160.001146
"PRT","BAU",2015,0.0128562691440416,2.8518298136541,6445.3425,45907.352,11178885075.8421,777659840.998651
"FRA","BAU",2015,6.43769218267243,24.5338916925745,33123.89875,338149.352,137147408236.996,5384370054.06642
"DEU","BAU",2015,8.81694570207643,28.8706060294521,30682.12875,292579.372,90891074419.5375,4884504622.391
"IND","BAU",2015,35.5283463507957,11.1704667378882,17719.39625,367039.442102968,159265556075.953,2938382037.53697
