"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"BAU",2020,"KGZ",929,3505.2324,810952434.818117,190675766.728424,2152909447.26457,70749227.8892724,97257111.695623
"ROG",2020,"KGZ",929,3505.2324,702019141.550241,197129759.890512,2180681295.06703,73279931.8928,100736004.247282
"LUT",2020,"KGZ",929,3505.2324,702019141.550241,197129759.890512,2180681295.06703,73279931.8928,100736004.247282
"BAU",2025,"KGZ",1043,4399.59304,1064988689.44769,230567091.888995,2616731454.99571,87691348.2337423,120987268.556543
"ROG",2025,"KGZ",1043,4399.59304,741500260.013353,207876333.875694,3234795603.11037,78477822.1846314,108275417.582543
"LUT",2025,"KGZ",1043,4399.59304,601986913.900065,192383591.896979,3035141834.61123,70120915.7911876,96932341.3810794
"BAU",2030,"KGZ",1173,5581.96935,1659772564.49771,258548179.718505,2937710066.89823,99824577.2724989,138469883.749369
"ROG",2030,"KGZ",1173,5581.96935,773301426.02741,205627310.360545,4504761134.2549,78586929.1303439,109010458.5286
"LUT",2030,"KGZ",1173,5581.96935,549322873.948341,173840045.855981,3963097304.30251,62212070.7403093,86604928.1037077
"BAU",2035,"KGZ",1298,7023.664487,2221124764.49836,290344267.185048,3307290732.97994,113370584.594928,158350325.918743
"ROG",2035,"KGZ",1298,7023.664487,810813202.99047,192042216.865384,5985794917.97193,73841251.6452972,103137743.410769
"LUT",2035,"KGZ",1298,7023.664487,515186209.364071,149954266.49903,4985825043.65175,52755301.2112596,74040076.050565
"BAU",2040,"KGZ",1436,8689.684681,2895190135.76461,325139060.960063,3711656333.17326,127760545.400719,179910073.352674
"ROG",2040,"KGZ",1436,8689.684681,851452736.900243,176880665.55267,7669449235.67731,68201835.0951859,96040582.1396323
"LUT",2040,"KGZ",1436,8689.684681,485245117.515426,128012394.894989,6056332030.9266,44245122.3315058,62672822.1113804
"BAU",2045,"KGZ",1582,10677.747673,3790579468.22667,355546135.677869,4064115748.82483,139971083.596232,199055082.725369
"ROG",2045,"KGZ",1582,10677.747673,908989754.131111,159163064.455279,9477829179.46462,61364513.7906476,87267441.6398401
"LUT",2045,"KGZ",1582,10677.747673,321285470.775123,73809023.8173033,7652283205.59033,24946564.0079614,35719907.6888834
"BAU",2050,"KGZ",1731,13074.144351,5010121786.62817,373847810.162183,4272961646.40129,146793357.136849,211263580.639133
"ROG",2050,"KGZ",1731,13074.144351,935289035.128004,140394902.641729,11346709339.7323,53986162.9103629,77696363.8128271
"LUT",2050,"KGZ",1731,13074.144351,297647784.073102,59866561.3705069,8626947627.88613,19902380.4614084,28862688.7278046
"BAU",2015,"ARM",1044,7907.427281,1686913320.4313,159239228.107677,2349533810.82332,60021714.4786175,84348519.3917448
"ROG",2015,"ARM",1044,7907.427281,1384061368.84109,174956736.864038,2453887348.02538,66184552.208488,93009155.6678269
"LUT",2015,"ARM",1044,7907.427281,1384061368.84109,174956736.864038,2453887348.02538,66184552.208488,93009155.6678269
"BAU",2020,"ARM",1024,9130.842136,1590475440.91574,158164377.276271,2330069744.60094,59767085.4777305,84511483.2819405
"ROG",2020,"ARM",1024,9130.842136,1179871075.24548,179413891.53736,2470847301.07246,68138606.2649788,96348929.1503619
"LUT",2020,"ARM",1024,9130.842136,1179871075.24548,179413891.53736,2470847301.07246,68138606.2649788,96348929.1503619
"BAU",2025,"ARM",1040,12623.724346,1835498108.54691,158171401.396688,2323176643.351,60135416.7305997,86502628.8091556
"ROG",2025,"ARM",1040,12623.724346,819882631.631534,155140978.148572,3379527292.77431,58867885.2611319,84679330.4906542
"LUT",2025,"ARM",1040,12623.724346,773198466.327734,150984977.863712,3405437885.88761,56980020.4214078,81985539.9839261
"BAU",2030,"ARM",1057,17879.399145,2301433824.36141,151353262.404212,2212484686.57542,57397212.3696328,84726259.2441994
"ROG",2030,"ARM",1057,17879.399145,671583908.844067,116705632.677587,4280571621.31182,43938511.9013473,64859347.631445
"LUT",2030,"ARM",1057,17879.399145,598509200.41249,108637104.741353,4296240235.69499,40456596.5968363,59751666.7912607
"BAU",2035,"ARM",1106,24574.690604,2976873208.49459,154209695.158096,2250257147.62956,58012008.148777,88489748.1085603
"ROG",2035,"ARM",1106,24574.690604,639201115.353742,90209848.8671852,5391013530.02766,33559916.5264915,51191273.2335943
"LUT",2035,"ARM",1106,24574.690604,515353014.492855,78549341.3207412,5242842859.33815,28518867.5497787,43556596.2353831
"BAU",2040,"ARM",1156,32696.689461,3531709556.32568,170673347.508209,2492084945.00296,63183660.4913537,100302487.157187
"ROG",2040,"ARM",1156,32696.689461,557726233.812806,71188395.2089726,6701818110.98269,25962318.2696284,41214533.5448957
"LUT",2040,"ARM",1156,32696.689461,413494550.003774,57924582.4822468,6287236654.42094,20368206.5363184,32396010.5105139
"BAU",2045,"ARM",1205,42261.679848,4094815012.99447,193838400.15475,2833342844.51202,69940094.6311468,116381124.564016
"ROG",2045,"ARM",1205,42261.679848,470840993.32754,57182966.5955393,8128970265.32195,20267921.487337,33726055.2435826
"LUT",2045,"ARM",1205,42261.679848,323271410.15052,43698190.4462978,7369999175.1532,14775741.924131,24648426.5835844
"BAU",2050,"ARM",1249,53774.829195,4669306172.23097,223887132.105635,3276356471.90337,77854786.0144821,137117081.52381
"ROG",2050,"ARM",1249,53774.829195,374740633.631161,46220879.6964018,9697572088.00999,15751743.0286912,27741814.518704
"LUT",2050,"ARM",1249,53774.829195,240367647.85473,33375444.5409476,8536038839.66545,10757278.8516799,19001967.2570115
"BAU",2015,"TUR",39040,15136.7715143871,74993784731.6931,10594647347.9451,93194338058.2792,3266378999.58215,4856024028.09028
"ROG",2015,"TUR",39040,15136.7715143871,68166922405.0762,11085499591.1163,94665572706.4907,3427322240.97974,5095601200.46393
"LUT",2015,"TUR",39040,15136.7715143871,68166922405.0762,11085499591.1163,94665572706.4907,3427322240.97974,5095601200.46393
"BAU",2020,"TUR",42403,16860.4408220304,81285857750.8676,12713629314.0327,111919139930.827,3967624847.83471,5943402647.00623
"ROG",2020,"TUR",42403,16860.4408220304,52867516297.1644,14723640399.771,117673956018.407,4651478680.31625,6964049538.40245
"LUT",2020,"TUR",42403,16860.4408220304,52867516297.1644,14723640399.771,117673956018.407,4651478680.31625,6964049538.40245
"BAU",2025,"TUR",45364,19315.3888530744,87649194431.8809,14783434191.6485,130329608209.725,4634899371.06878,7028411681.53603
"ROG",2025,"TUR",45364,19315.3888530744,30792173977.063,16959961050.5328,161668993041.686,5409047740.18078,8183527337.45844
"LUT",2025,"TUR",45364,19315.3888530744,28177563110.9414,16351812578.9203,158427625994.706,5123470037.39421,7767009791.3276
"BAU",2030,"TUR",47976,22057.0546762172,90657919745.0691,16983630655.6443,150010100333.543,5332704654.64289,8200493410.02691
"ROG",2030,"TUR",47976,22057.0546762172,21101665585.6164,17663057672.6705,209725375529.386,5642158071.90532,8641119399.85005
"LUT",2030,"TUR",47976,22057.0546762172,18228637036.7591,16405541319.6381,201688007303.373,5071775067.92596,7798497896.24928
"BAU",2035,"TUR",50303,24772.2485976283,96842452205.2621,18780098667.7047,165777670603.587,5897488438.12231,9197082456.43038
"ROG",2035,"TUR",50303,24772.2485976283,20193174875.5037,17504833607.0391,253296382293.414,5596428655.81142,8669874624.47479
"LUT",2035,"TUR",50303,24772.2485976283,16559755018.7224,15728438408.0607,239654338647.581,4799292788.53837,7481630022.35038
"BAU",2040,"TUR",52397,27307.8413359233,101296477686.69,20580057828.5361,181577887313.589,6456497447.80264,10202420736.9853
"ROG",2040,"TUR",52397,27307.8413359233,19146455446.6878,17313147311.8985,295568215502.38,5542437461.87826,8673293286.17462
"LUT",2040,"TUR",52397,27307.8413359233,14999665149.4799,15097147508.6894,275469535744.226,4556049854.27465,7191045974.4658
"BAU",2045,"TUR",54301,29606.6236965856,107213265508.267,22138834577.2225,195161754708.513,6929779851.95112,11083455367.9456
"ROG",2045,"TUR",54301,29606.6236965856,19369211993.5362,17083537725.1002,333433417607.708,5477920421.02377,8646010984.68095
"LUT",2045,"TUR",54301,29606.6236965856,14571347419.9863,14506741915.3444,306635391329.558,4336912547.64713,6919814815.97129
"BAU",2050,"TUR",56016,31628.0560138333,110281805540.733,23750538979.1141,209223853032.715,7422202090.62881,11997730692.3892
"ROG",2050,"TUR",56016,31628.0560138333,18425151774.7856,16963644109.2308,369382989609.935,5457071971.32952,8671000047.87788
"LUT",2050,"TUR",56016,31628.0560138333,13363463718.2838,14063160307.5278,335617522515.851,4175568655.02433,6722418473.65381
"BAU",2015,"NER",1460,807.124198156668,568274525.225274,385773566.09102,2141826114.52045,126425991.955343,172049456.921386
"ROG",2015,"NER",1460,807.124198156668,565623071.499303,385979958.850013,2140785991.42304,126490250.823739,172138988.874063
"LUT",2015,"NER",1460,807.124198156668,565623071.499303,385979958.850013,2140785991.42304,126490250.823739,172138988.874063
"BAU",2020,"NER",1813,923.684890589014,820312820.148636,598429197.481977,3336878109.07465,207961360.809308,282272991.31193
"ROG",2020,"NER",1813,923.684890589014,727078238.307298,605829870.484178,3339964813.04333,210768583.2803,286084043.706924
"LUT",2020,"NER",1813,923.684890589014,727078238.307298,605829870.484178,3339964813.04333,210768583.2803,286084043.706924
"BAU",2025,"NER",2400,1001.75906845164,1240211069.3322,957334195.497784,5418380760.56033,341580860.996906,463240607.133938
"ROG",2025,"NER",2400,1001.75906845164,1063531747.22519,933224735.932228,5915761330.24682,331487626.700099,449528916.3423
"LUT",2025,"NER",2400,1001.75906845164,724240544.492273,806014394.561986,5066844651.16006,267103202.355114,363656937.624637
"BAU",2030,"NER",3250,1093.15547572818,1811584614.71283,1513524661.47365,8707570764.30673,543090771.984607,736860599.820006
